pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
3868129,2,9,1,1,2,2,2,0,0,55,0,2,9,0,55000,55000
6363549,2,9,1,1,1,1,1,0,0,0,0,1,9,0,75000,75000
6401662,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5750181,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1785158,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7601271,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3099586,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5277597,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1979526,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9399460,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3652539,0,9,2,2,2,2,2,0,0,0,0,9,2,0,0,0
4949733,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8714967,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5588483,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4695020,2,9,1,1,1,1,1,30,0,4,0,1,9,11,85000,85000
3243953,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1477816,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3543161,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2010872,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3290664,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
3756231,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
6088024,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8272770,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1521690,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6504353,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7148903,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
4663405,2,9,1,1,1,2,2,0,0,0,0,1,9,0,50000,50000
5038287,2,9,1,1,1,2,2,0,0,0,0,2,9,0,25000,25000
1022758,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1188849,2,9,2,1,1,1,1,2,3,3,1,1,9,10,75000,75000
8023347,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1814031,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5568044,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
6763660,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6074413,2,9,1,1,1,1,1,2,0,2,0,1,9,8,85000,85000
3465322,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9408631,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7739339,2,9,1,1,2,2,2,55,0,55,0,1,9,8,55000,55000
7875984,2,9,2,2,2,2,2,0,0,0,0,1,9,0,50000,50000
8083759,2,9,2,2,2,2,2,0,0,0,0,2,9,0,75000,75000
8499222,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1265964,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5515721,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3773682,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2538833,2,9,1,1,1,2,2,0,0,0,0,1,9,0,50000,50000
6535416,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
1882532,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7033716,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5830433,0,9,2,2,2,2,2,0,0,0,0,9,1,0,0,0
1911830,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8850878,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6859835,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
1053306,2,9,1,1,1,1,1,71,0,66,5,1,9,8,85000,85000
6885349,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4502478,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1683326,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7381177,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6502911,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
